River,Gauge Site,Date,Up Stream,Down Stream
INDUS,khairabad,15-Jun-23,-,104100
INDUS,Kalabagh,15-Jun-23,90969,87969
INDUS,Chashma,15-Jun-23,146596,141984
INDUS,Taunsa,15-Jun-23,97322,87805
INDUS,Guddu,15-Jun-23,70194,58733
INDUS,Sukkar,15-Jun-23,54410,22570
INDUS,Kotri,15-Jun-23,12900,4930
JHELUM,Kotli,15-Jun-23,-,5070
JHELUM,Mangla,15-Jun-23,91000,22515
JHELUM,Rasul,15-Jun-23,17240,15800
CHENAB,Marala,15-Jun-23,31382,21382
CHENAB,Khanki,15-Jun-23,NR,NR
CHENAB,Qadirabad,15-Jun-23,43267,21267
CHENAB,Trimmu,15-Jun-23,15064,NIL
CHENAB,Punjnad,15-Jun-23,2784,NIL
RAVI,Thein,15-Jun-23,-,-
RAVI,Jassar,15-Jun-23,-,1847
RAVI,Shahdara,15-Jun-23,-,4429
RAVI,Balloki,15-Jun-23,27690,15190
RAVI,Sidhnai,15-Jun-23,10600,NIL
SUTLEJ,Bhakara**,15-Jun-23,-,-
SUTLEJ,Sulemanki,15-Jun-23,10362,437
SUTLEJ,Islam,15-Jun-23,NR,NR
INDUS,khairabad,15-Jun-23,-,80200
INDUS,Kalabagh,15-Jun-23,111909,106909
INDUS,Chashma,15-Jun-23,153069,149269
INDUS,Taunsa,15-Jun-23,112148,106428
INDUS,Guddu,15-Jun-23,70194,58733
INDUS,Sukkar,15-Jun-23,54290,22570
INDUS,Kotri,15-Jun-23,12900,4930
JHELUM,Kotli,15-Jun-23,-,4590
JHELUM,Mangla,15-Jun-23,55000,32415
JHELUM,Rasul,15-Jun-23,NR,NR
CHENAB,Marala,15-Jun-23,-,-
CHENAB,Khanki,15-Jun-23,33244,26444
CHENAB,Qadirabad,15-Jun-23,36688,21267
CHENAB,Trimmu,15-Jun-23,20420,10344
CHENAB,Punjnad,15-Jun-23,8221,NIL
RAVI,Thein,15-Jun-23,-,-
RAVI,Jassar,15-Jun-23,-,NR
RAVI,Shahdara,15-Jun-23,-,4735
RAVI,Balloki,15-Jun-23,28270,5770
RAVI,Sidhnai,15-Jun-23,11100,NIL
SUTLEJ,Bhakara**,15-Jun-23,-,-
SUTLEJ,Sulemanki,15-Jun-23,10939,1014
SUTLEJ,Islam,15-Jun-23,600,NIL
INDUS,khairabad,15-Jun-23,-,90600
INDUS,Kalabagh,15-Jun-23,111909,106909
INDUS,Chashma,15-Jun-23,155014,150402
INDUS,Taunsa,15-Jun-23,112148,106428
INDUS,Guddu,15-Jun-23,70194,58733
INDUS,Sukkar,15-Jun-23,54290,22570
INDUS,Kotri,15-Jun-23,12900,4930
JHELUM,Kotli,15-Jun-23,-,4350
JHELUM,Mangla,15-Jun-23,68000,36915
JHELUM,Rasul,15-Jun-23,18047,NIL
CHENAB,Marala,15-Jun-23,43834,22834
CHENAB,Khanki,15-Jun-23,35180,28380
CHENAB,Qadirabad,15-Jun-23,43262,21262
CHENAB,Trimmu,15-Jun-23,20722,10344
CHENAB,Punjnad,15-Jun-23,8221,NIL
RAVI,Thein,15-Jun-23,-,-
RAVI,Jassar,15-Jun-23,-,1847
RAVI,Shahdara,15-Jun-23,-,4735
RAVI,Balloki,15-Jun-23,28270,5770
RAVI,Sidhnai,15-Jun-23,11100,NIL
SUTLEJ,Bhakara**,15-Jun-23,-,-
SUTLEJ,Sulemanki,15-Jun-23,10939,1014
SUTLEJ,Islam,15-Jun-23,600,NIL
INDUS,khairabad,16-Jun-23,-,119200
INDUS,Kalabagh,16-Jun-23,110954,105954
INDUS,Chashma,16-Jun-23,154312,150512
INDUS,Taunsa,16-Jun-23,112148,106428
INDUS,Guddu,16-Jun-23,74554,62129
INDUS,Sukkar,16-Jun-23,55210,22550
INDUS,Kotri,16-Jun-23,13150,6185
JHELUM,Kotli,16-Jun-23,-,4830
JHELUM,Mangla,16-Jun-23,52000,24655
JHELUM,Rasul,16-Jun-23,23388,5341
CHENAB,Marala,16-Jun-23,43834,22834
CHENAB,Khanki,16-Jun-23,33244,26444
CHENAB,Qadirabad,16-Jun-23,43062,21262
CHENAB,Trimmu,16-Jun-23,20722,10344
CHENAB,Punjnad,16-Jun-23,8221,NIL
RAVI,Thein,16-Jun-23,-,-
RAVI,Jassar,16-Jun-23,-,1847
RAVI,Shahdara,16-Jun-23,-,5345
RAVI,Balloki,16-Jun-23,29420,6920
RAVI,Sidhnai,16-Jun-23,10900,NIL
SUTLEJ,Bhakara**,16-Jun-23,-,-
SUTLEJ,Sulemanki,16-Jun-23,10939,1014
