River,Gauge Site,Date,Upstream,Downstream
Indus,Kalabagh,2018-04-01 00:00:00,35915,33915
Indus,Kalabagh,2018-04-02 00:00:00,27167,25167
Indus,Kalabagh,2018-04-03 00:00:00,25841,23841
Indus,Kalabagh,2018-04-04 00:00:00,35791,33791
Indus,Kalabagh,2018-04-05 00:00:00,44143,42143
Indus,Kalabagh,2018-04-06 00:00:00,44805,42805
Indus,Kalabagh,2018-04-07 00:00:00,39257,37257
Indus,Kalabagh,2018-04-08 00:00:00,49051,47051
Indus,Kalabagh,2018-04-09 00:00:00,49290,47290
Indus,Kalabagh,2018-04-10 00:00:00,43124,41124
Indus,Kalabagh,2018-04-11 00:00:00,55758,52758
Indus,Kalabagh,2018-04-12 00:00:00,61954,58954
Indus,Kalabagh,2018-04-13 00:00:00,54839,51839
Indus,Kalabagh,2018-04-14 00:00:00,50224,47224
Indus,Kalabagh,2018-04-15 00:00:00,58141,55141
Indus,Kalabagh,2018-04-16 00:00:00,58141,55141
Indus,Kalabagh,2018-04-17 00:00:00,57724,54724
Indus,Kalabagh,2018-04-18 00:00:00,53362,50362
Indus,Kalabagh,2018-04-19 00:00:00,58881,55881
Indus,Kalabagh,2018-04-20 00:00:00,61481,58481
Indus,Kalabagh,2018-04-21 00:00:00,68928,59928
Indus,Kalabagh,2018-04-22 00:00:00,68389,65389
Indus,Kalabagh,2018-04-23 00:00:00,62934,59934
Indus,Kalabagh,2018-04-24 00:00:00,54911,51911
Indus,Kalabagh,2018-04-25 00:00:00,55708,52708
Indus,Kalabagh,2018-04-26 00:00:00,55645,52645
Indus,Kalabagh,2018-04-27 00:00:00,52467,55467
Indus,Kalabagh,2018-04-28 00:00:00,71593,70593
Indus,Kalabagh,2018-04-29 00:00:00,70866,67866
Indus,Kalabagh,2018-04-30 00:00:00,64816,61816
Indus,Taunsa Barrage,2018-04-01 00:00:00,21327,18554
Indus,Taunsa Barrage,2018-04-02 00:00:00,22439,19522
Indus,Taunsa Barrage,2018-04-03 00:00:00,22439,19522
Indus,Taunsa Barrage,2018-04-04 00:00:00,19666,19666
Indus,Taunsa Barrage,2018-04-05 00:00:00,20938,20938
Indus,Taunsa Barrage,2018-04-06 00:00:00,20938,20938
Indus,Taunsa Barrage,2018-04-07 00:00:00,19666,19666
Indus,Taunsa Barrage,2018-04-08 00:00:00,19666,19666
Indus,Taunsa Barrage,2018-04-09 00:00:00,24755,24755
Indus,Taunsa Barrage,2018-04-10 00:00:00,24755,24755
Indus,Taunsa Barrage,2018-04-11 00:00:00,27884,26016
Indus,Taunsa Barrage,2018-04-12 00:00:00,29169,27215
Indus,Taunsa Barrage,2018-04-13 00:00:00,30527,28482
Indus,Taunsa Barrage,2018-04-14 00:00:00,28074,26193
Indus,Taunsa Barrage,2018-04-15 00:00:00,33205,30980
Indus,Taunsa Barrage,2018-04-16 00:00:00,36114,33694
Indus,Taunsa Barrage,2018-04-17 00:00:00,35839,31359
Indus,Taunsa Barrage,2018-04-18 00:00:00,35616,31164
Indus,Taunsa Barrage,2018-04-19 00:00:00,34455,30148
Indus,Taunsa Barrage,2018-04-20 00:00:00,32437,28382
Indus,Taunsa Barrage,2018-04-21 00:00:00,33672,29463
Indus,Taunsa Barrage,2018-04-22 00:00:00,35445,31014
Indus,Taunsa Barrage,2018-04-23 00:00:00,38333,33542
Indus,Taunsa Barrage,2018-04-24 00:00:00,43170,35961
Indus,Taunsa Barrage,2018-04-25 00:00:00,42644,36802
Indus,Taunsa Barrage,2018-04-26 00:00:00,43943,37923
Indus,Taunsa Barrage,2018-04-27 00:00:00,43943,37923
