River,Gauge Site,Date,Up Stream,Down Stream
INDUS,Kalabagh,02-Sept-20,460231,457031
INDUS,Chashma,16-Jun-20,NR,NR
INDUS,Taunsa,02-Sept-20,-,-
INDUS,Guddu,16-Jun-20,NR,NR
INDUS,Sukkar,16-Jun-20,NR,NR
INDUS,Kotri,16-Jun-20,NR,NR
JHELUM,Kotli,15-Jun-20,,3780
JHELUM,Mangla,16-Jun-20,NR,NR
JHELUM,Rasul,08-Jul-20,7730,NIL
JHELUM,Khushab bridge,15-Jun-20,NR,NR
CHENAB,Jammu Tavi,15-Jun-20,,
CHENAB,Marala,27-Aug-20,NA,NA
CHENAB,Khanki,30-Sept-20,7828,NIL
CHENAB,Qadirabad,15-Jun-20,16350,NIL
CHENAB,Trimmu,11-Jul-20,14900,NIL
CHENAB,Punjnad,09-Jul-20,16000,NIL
RAVI,Jassar,15-Jun-20,-,1449
RAVI,Shahdara,15-Jun-20,_,22322
RAVI,Balloki,15-Jun-20,36905,6455
RAVI,Sidhnai,15-Jun-20,17205,-
SUTLEJ,Bhakra,15-Jun-20,,
SUTLEJ,Sulemanki,02-Oct-20,13709,NIL
SUTLEJ,Islam,26-Jun-20,1130,NL
INDUS,Kalabagh,03-Sept-20,460003,457031
INDUS,Chashma,17-Jun-20,NR,NR
INDUS,Taunsa,06-Sept-20,-,-
INDUS,Guddu,17-Jun-20,NR,NR
INDUS,Sukkar,17-Jun-20,NR,NR
INDUS,Kotri,17-Jun-20,NR,NR
JHELUM,Kotli,15-Jun-20,,
JHELUM,Mangla,17-Jun-20,NR,NR
JHELUM,Rasul,09-Jul-20,7320,NIL
JHELUM,Khushab bridge,15-Jun-20,NR,NR
CHENAB,Jammu Tavi,15-Jun-20,,
CHENAB,Marala,29-Aug-20,N.A,N.A
CHENAB,Khanki,03-Oct-20,7741,NIL
CHENAB,Qadirabad,15-Jun-20,17025,NIL
CHENAB,Trimmu,12-Jul-20,14900,NIL
CHENAB,Punjnad,09-Jul-20,16000,NIL
RAVI,Jassar,15-Jun-20,-,1449
RAVI,Shahdara,15-Jun-20,_,22322
RAVI,Balloki,15-Jun-20,36905,6455
RAVI,Sidhnai,15-Jun-20,17205,
SUTLEJ,Bhakra,15-Jun-20,,
SUTLEJ,Sulemanki,10-Oct-20,10082,Nil
SUTLEJ,Islam,15-Jun-20,1520,NIL
INDUS,Kalabagh,03-Sept-20,460131,457031
INDUS,Chashma,18-Jun-20,NR,NR
INDUS,Taunsa,06-Sept-20,479866,479866
INDUS,Guddu,18-Jun-20,NR,NR
INDUS,Sukkar,18-Jun-20,NR,NR
INDUS,Kotri,18-Jun-20,NR,NR
JHELUM,Kotli,15-Jun-20,,N.R
JHELUM,Mangla,19-Jun-20,NR,NR
JHELUM,Rasul,09-Jul-20,7320,NIL
JHELUM,Khushab bridge,15-Jun-20,NR,NR
CHENAB,Jammu Tavi,15-Jun-20,,
CHENAB,Marala,29-Aug-20,N.A,N.A
CHENAB,Khanki,05-Oct-20,7729,Nil
CHENAB,Qadirabad,16-Jun-20,17025,NIL
CHENAB,Trimmu,12-Jul-20,14359,NIL
CHENAB,Punjnad,09-Jul-20,16000,NIL
RAVI,Jassar,15-Jun-20,4660,
RAVI,Shahdara,15-Jun-20,22322,
RAVI,Balloki,15-Jun-20,35150,4300
RAVI,Sidhnai,15-Jun-20,17205,3305
SUTLEJ,Bhakra,15-Jun-20,,
SUTLEJ,Sulemanki,10-Oct-20,10082,Nil
SUTLEJ,Islam,15-Jun-20,1530,NIL
INDUS,Kalabagh,03-Sept-20,460031,457031
INDUS,Chashma,19-Jun-20,NR,NR
INDUS,Taunsa,06-Sept-20,479866,479866
INDUS,Guddu,19-Jun-20,NR,NR
INDUS,Sukkar,19-Jun-20,NR,NR
INDUS,Kotri,19-Jun-20,NR,NR
JHELUM,Kotli,16-Jun-20,,N.R
JHELUM,Mangla,19-Jun-20,NR,NR
JHELUM,Rasul,10-Jul-20,7820,NIL
JHELUM,Khushab bridge,16-Jun-20,NR,NR
CHENAB,Jammu Tavi,16-Jun-20,,
CHENAB,Marala,27-Aug-20,303884,298884
CHENAB,Khanki,11-Oct-20,7547,Nil
CHENAB,Qadirabad,16-Jun-20,16000,NIL
CHENAB,Trimmu,12-Jul-20,13384,NIL
CHENAB,Punjnad,10-Jul-20,16000,NIL
RAVI,Jassar,16-Jun-20,4660,
RAVI,Shahdara,16-Jun-20,21756,
RAVI,Balloki,16-Jun-20,33595,2945
RAVI,Sidhnai,16-Jun-20,17205,3305
SUTLEJ,Bhakra,16-Jun-20,,
SUTLEJ,Sulemanki,11-Oct-20,11009,Nil
SUTLEJ,Islam,16-Jun-20,1530,NIL
INDUS,Kalabagh,03-Sept-20,460031,457031
INDUS,Chashma,19-Jun-20,NR,NR
INDUS,Taunsa,06-Sept-20,479866,479866
INDUS,Guddu,19-Jun-20,NR,NR
INDUS,Sukkar,19-Jun-20,NR,NR
INDUS,Kotri,19-Jun-20,NR,NR
JHELUM,Kotli,16-Jun-20,,N.R
JHELUM,Mangla,20-Jun-20,NR,NR
JHELUM,Rasul,10-Jul-20,7840,NIL
JHELUM,Khushab bridge,17-Jun-20,36586,-
CHENAB,Jammu Tavi,16-Jun-20,,
CHENAB,Marala,27-Aug-20,293326,288326
CHENAB,Khanki,12-Oct-20,20450,NIL
CHENAB,Qadirabad,16-Jun-20,13000,NIL
CHENAB,Trimmu,12-Jul-20,13434,NIL
CHENAB,Punjnad,10-Jul-20,15106,NIL
RAVI,Jassar,16-Jun-20,,5507
RAVI,Shahdara,16-Jun-20,,21756
RAVI,Balloki,16-Jun-20,33595,2945
RAVI,Sidhnai,16-Jun-20,18300,4400
SUTLEJ,Bhakra,16-Jun-20,,
SUTLEJ,Sulemanki,11-Oct-20,11009,NIL
SUTLEJ,Islam,16-Jun-20,1530,NIL
INDUS,Kalabagh,03-Sept-20,460031,457031
INDUS,Chashma,20-Jun-20,NR,NR
INDUS,Taunsa,06-Sept-20,479866,479866
INDUS,Guddu,20-Jun-20,NR,NR
INDUS,Sukkar,20-Jun-20,NR,NR
INDUS,Kotri,20-Jun-20,NR,NR
JHELUM,Kotli,16-Jun-20,NR,NR
JHELUM,Mangla,20-Jun-20,NR,NR
JHELUM,Rasul,10-Jul-20,7840,NIL
JHELUM,Khushab bridge,18-Jun-20,39420,-
CHENAB,Jammu Tavi,16-Jun-20,,
CHENAB,Marala,28-Aug-20,279584,274584
CHENAB,Khanki,12-Oct-20,7547,NIL
CHENAB,Qadirabad,16-Jun-20,12500,NIL
CHENAB,Trimmu,13-Jul-20,14900,NIL
CHENAB,Punjnad,10-Jul-20,15106,NIL
RAVI,Jassar,16-Jun-20,,6014
RAVI,Shahdara,16-Jun-20,,21191
RAVI,Balloki,16-Jun-20,33595,2945
RAVI,Sidhnai,16-Jun-20,17539,3639
SUTLEJ,Bhakra,16-Jun-20,,
SUTLEJ,Sulemanki,11-Oct-20,11500,Nil
SUTLEJ,Islam,17-Jun-20,1530,NIL
INDUS,Kalabagh,03-Sept-20,456212,453212
INDUS,Chashma,20-Jun-20,NR,NR
INDUS,Taunsa,06-Sept-20,479866,479866
