River,Gauge Site,Date,Up Stream,Down Stream
INDUS,Kalabagh,15-Jun-21,197466,189966
INDUS,Chashma,15-Jun-21,203432,193247
INDUS,Taunsa,15-Jun-21,179532,161932
INDUS,Guddu,15-Jun-21,106390,81546
INDUS,Sukkar,15-Jun-21,75020,31800
INDUS,Kotri,15-Jun-21,21985,380
JHELUM,Kotli,15-Jun-21,-,5670
JHELUM,Mangla,15-Jun-21,55000,15315
JHELUM,Rasul,15-Jun-21,51180,43135
CHENAB,Marala,15-Jun-21,50668,21668
CHENAB,Khanki,15-Jun-21,26545,18816
CHENAB,Qadirabad,15-Jun-21,17000,NR
CHENAB,Trimmu,15-Jun-21,14828,6228
CHENAB,Punjnad,15-Jun-21,NR,NR
RAVI,Jassar,15-Jun-21,-,NR
RAVI,Shahdara,15-Jun-21,-,21756
RAVI,Balloki,15-Jun-21,36995,6795
RAVI,Sidhnai,15-Jun-21,17050,2217
SUTLEJ,Sulemanki,15-Jun-21,12857,2881
SUTLEJ,Islam,15-Jun-21,1230,NR
INDUS,Kalabagh,15-Jun-21,197466,189966
INDUS,Chashma,15-Jun-21,204479,193179
INDUS,Taunsa,15-Jun-21,179532,161932
INDUS,Guddu,15-Jun-21,106390,81546
INDUS,Sukkar,15-Jun-21,75020,31800
INDUS,Kotri,15-Jun-21,21985,380
JHELUM,Kotli,15-Jun-21,-,5960
JHELUM,Mangla,15-Jun-21,73000,12515
JHELUM,Rasul,15-Jun-21,51180,43135
CHENAB,Marala,15-Jun-21,50668,21668
CHENAB,Khanki,15-Jun-21,26545,18816
CHENAB,Qadirabad,15-Jun-21,17000,NR
CHENAB,Trimmu,15-Jun-21,14828,6228
CHENAB,Punjnad,15-Jun-21,NR,NR
RAVI,Jassar,15-Jun-21,-,NR
RAVI,Shahdara,15-Jun-21,-,21756
RAVI,Balloki,15-Jun-21,36995,6795
RAVI,Sidhnai,15-Jun-21,17050,2217
SUTLEJ,Sulemanki,15-Jun-21,12857,2881
SUTLEJ,Islam,15-Jun-21,1230,NR
INDUS,Kalabagh,15-Jun-21,178458,170458
INDUS,Chashma,15-Jun-21,NR,NR
INDUS,Taunsa,15-Jun-21,184582,157682
INDUS,Guddu,15-Jun-21,NR,NR
INDUS,Sukkar,15-Jun-21,NR,NR
INDUS,Kotri,15-Jun-21,NR,NR
JHELUM,Kotli,15-Jun-21,-,NR
JHELUM,Mangla,15-Jun-21,NR,NR
JHELUM,Rasul,15-Jun-21,2943,NR
CHENAB,Marala,15-Jun-21,53520,23120
CHENAB,Khanki,15-Jun-21,NR,NR
CHENAB,Qadirabad,15-Jun-21,33316,11316
CHENAB,Trimmu,15-Jun-21,14451,2757
CHENAB,Punjnad,15-Jun-21,NR,NR
RAVI,Jassar,15-Jun-21,NR,NR
RAVI,Shahdara,15-Jun-21,-,NR
RAVI,Balloki,15-Jun-21,36995,6795
RAVI,Sidhnai,15-Jun-21,12886,NR
SUTLEJ,Sulemanki,15-Jun-21,12857,2881
SUTLEJ,Islam,15-Jun-21,1300,NR
INDUS,Kalabagh,16-Jun-21,184504,176504
INDUS,Chashma,16-Jun-21,204696,193396
INDUS,Taunsa,16-Jun-21,182876,154876
INDUS,Guddu,16-Jun-21,NR,NR
INDUS,Sukkar,16-Jun-21,NR,NR
INDUS,Kotri,16-Jun-21,NR,NR
JHELUM,Kotli,16-Jun-21,-,5380
JHELUM,Mangla,16-Jun-21,62000,12555
JHELUM,Rasul,16-Jun-21,8284,5341
CHENAB,Marala,16-Jun-21,49746,19346
CHENAB,Khanki,16-Jun-21,NR,NR
CHENAB,Qadirabad,16-Jun-21,26794,4794
CHENAB,Trimmu,16-Jun-21,14451,2757
CHENAB,Punjnad,16-Jun-21,14500,NR
RAVI,Jassar,16-Jun-21,-,NR
RAVI,Shahdara,16-Jun-21,-,21756
RAVI,Balloki,16-Jun-21,36995,6795
RAVI,Sidhnai,16-Jun-21,12886,NR
SUTLEJ,Sulemanki,16-Jun-21,13201,3225
SUTLEJ,Islam,16-Jun-21,1300,NR
INDUS,Kalabagh,16-Jun-21,199820,191820
INDUS,Chashma,16-Jun-21,204228,192928
INDUS,Taunsa,16-Jun-21,183276,154530
INDUS,Guddu,16-Jun-21,120017,91175
