River,Gauge Site,Date,Upstream,Downstream
Chenab,Qadirabad Barrage,01/01/2014,1130,1130
Chenab,Qadirabad Barrage,01/02/2014,622,622
Chenab,Qadirabad Barrage,01/03/2014,934,934
Chenab,Qadirabad Barrage,01/04/2014,2285,2285
Chenab,Qadirabad Barrage,01/05/2014,778,778
Chenab,Qadirabad Barrage,01/06/2014,778,778
Chenab,Qadirabad Barrage,01/07/2014,778,778
Chenab,Qadirabad Barrage,01/08/2014,778,778
Chenab,Qadirabad Barrage,01/09/2014,778,778
Chenab,Qadirabad Barrage,01/10/2014,570,570
Chenab,Qadirabad Barrage,01/11/2014,570,570
Chenab,Qadirabad Barrage,01/12/2014,570,570
Chenab,Qadirabad Barrage,13-01-2014,570,570
Chenab,Qadirabad Barrage,14-01-2014,570,570
Chenab,Qadirabad Barrage,15-01-2014,8785,8785
Chenab,Qadirabad Barrage,16-01-2014,9962,9962
Chenab,Qadirabad Barrage,17-01-2014,5797,5797
Chenab,Qadirabad Barrage,18-01-2014,5797,5797
Chenab,Qadirabad Barrage,19-01-2014,2309,2309
Chenab,Qadirabad Barrage,20-01-2014,2309,2309
Chenab,Qadirabad Barrage,21-01-2014,1483,1483
Chenab,Qadirabad Barrage,22-01-2014,798,798
Chenab,Qadirabad Barrage,23-01-2014,798,798
Chenab,Qadirabad Barrage,24-01-2014,11044,11044
Chenab,Qadirabad Barrage,25-01-2014,12884,12884
Chenab,Qadirabad Barrage,26-01-2014,5596,5596
Chenab,Qadirabad Barrage,27-01-2014,1552,1552
Chenab,Qadirabad Barrage,28-01-2014,1243,1243
Chenab,Qadirabad Barrage,29-01-2014,7750,7750
Chenab,Qadirabad Barrage,30-01-2014,6207,6207
Chenab,Qadirabad Barrage,31-01-2014,6207,6207
Chenab,Trimmu H/W-,01/01/2014,8346,NIL
Chenab,Trimmu H/W-,01/02/2014,11389,NIL
Chenab,Trimmu H/W-,01/03/2014,9867,NIL
Chenab,Trimmu H/W-,01/04/2014,8384,NIL
Chenab,Trimmu H/W-,01/05/2014,9154,NIL
Chenab,Trimmu H/W-,01/06/2014,6763,NIL
Chenab,Trimmu H/W-,01/07/2014,8360,NIL
Chenab,Trimmu H/W-,01/08/2014,6800,NIL
Chenab,Trimmu H/W-,01/09/2014,6766,NIL
Chenab,Trimmu H/W-,01/10/2014,15692,NIL
Chenab,Trimmu H/W-,01/11/2014,6606,NIL
Chenab,Trimmu H/W-,01/12/2014,4011,NIL
Chenab,Trimmu H/W-,13-01-2014,3460,NIL
Chenab,Trimmu H/W-,14-01-2014,3288,NIL
Chenab,Trimmu H/W-,15-01-2014,4011,NIL
Chenab,Trimmu H/W-,16-01-2014,4011,NIL
Chenab,Trimmu H/W-,17-01-2014,3288,NIL
Chenab,Trimmu H/W-,18-01-2014,6248,NIL
Chenab,Trimmu H/W-,19-01-2014,8072,NIL
Chenab,Trimmu H/W-,20-01-2014,8072,NIL
Chenab,Trimmu H/W-,21-01-2014,9769,NIL
Chenab,Trimmu H/W-,22-01-2014,7217,NIL
Chenab,Trimmu H/W-,23-01-2014,5515,NIL
Chenab,Trimmu H/W-,24-01-2014,3915,NIL
Chenab,Trimmu H/W-,25-01-2014,1924,NIL
Chenab,Trimmu H/W-,26-01-2014,1533,NIL
Chenab,Trimmu H/W-,27-01-2014,1175,NIL
Chenab,Trimmu H/W-,28-01-2014,3714,NIL
Chenab,Trimmu H/W-,29-01-2014,4269,NIL
Chenab,Trimmu H/W-,30-01-2014,3585,NIL
Chenab,Trimmu H/W-,31-01-2014,2054,NIL
Chenab,Panjnad H/W,01/01/2014,3.89,NIL
Chenab,Panjnad H/W,01/02/2014,3.89,NIL
Chenab,Panjnad H/W,01/03/2014,Closed,NIL
Chenab,Panjnad H/W,01/04/2014,Closed,NIL
Chenab,Panjnad H/W,01/05/2014,Closed,NIL
Chenab,Panjnad H/W,01/06/2014,Closed,NIL
Chenab,Panjnad H/W,01/07/2014,Closed,NIL
Chenab,Panjnad H/W,01/08/2014,Closed,NIL
Chenab,Panjnad H/W,01/09/2014,Closed,NIL
Chenab,Panjnad H/W,01/10/2014,Closed,NIL
Chenab,Panjnad H/W,01/11/2014,Closed,NIL
Chenab,Panjnad H/W,01/12/2014,Closed,NIL
Chenab,Panjnad H/W,13-01-2014,Closed,NIL
Chenab,Panjnad H/W,14-01-2014,Closed,NIL
Chenab,Panjnad H/W,15-01-2014,Closed,NIL
Chenab,Panjnad H/W,16-01-2014,Closed,NIL
Chenab,Panjnad H/W,17-01-2014,Closed,NIL
Chenab,Panjnad H/W,18-01-2014,Closed,NIL
Chenab,Panjnad H/W,19-01-2014,Closed,NIL
Chenab,Panjnad H/W,20-01-2014,Closed,NIL
Chenab,Panjnad H/W,21-01-2014,Closed,NIL
Chenab,Panjnad H/W,22-01-2014,Closed,NIL
Chenab,Panjnad H/W,23-01-2014,Closed,NIL
Chenab,Panjnad H/W,24-01-2014,Closed,NIL
Chenab,Panjnad H/W,25-01-2014,Closed,NIL
Chenab,Panjnad H/W,26-01-2014,Closed,NIL
Chenab,Panjnad H/W,27-01-2014,Closed,NIL
Chenab,Panjnad H/W,28-01-2014,Closed,NIL
Chenab,Panjnad H/W,29-01-2014,3.89,NIL
