River,Gauge Site,Date,Upstream,Downstream
Indus,Kalabagh,2016-01-01 00:00:00,22650,15150
Indus,Kalabagh,2016-01-02 00:00:00,18524,11474
Indus,Kalabagh,2016-01-03 00:00:00,24274,18224
Indus,Kalabagh,2016-01-04 00:00:00,22554,17454
Indus,Kalabagh,2016-01-05 00:00:00,22177,17727
Indus,Kalabagh,2016-01-06 00:00:00,17337,13837
Indus,Kalabagh,2016-01-07 00:00:00,20653,17903
Indus,Kalabagh,2016-01-08 00:00:00,20682,18432
Indus,Kalabagh,2016-01-09 00:00:00,14857,13007
Indus,Kalabagh,2016-01-10 00:00:00,19978,18478
Indus,Kalabagh,2016-01-11 00:00:00,17168,16218
Indus,Kalabagh,2016-01-12 00:00:00,42883,42133
Indus,Kalabagh,2016-01-13 00:00:00,58527,58527
Indus,Kalabagh,2016-01-14 00:00:00,30867,30867
Indus,Kalabagh,2016-01-15 00:00:00,35920,35920
Indus,Kalabagh,2016-01-16 00:00:00,30204,30204
Indus,Kalabagh,2016-01-17 00:00:00,40778,40778
Indus,Kalabagh,2016-01-18 00:00:00,36341,36341
Indus,Kalabagh,2016-01-19 00:00:00,30204,30204
Indus,Kalabagh,2016-01-20 00:00:00,36341,36341
Indus,Kalabagh,2016-01-21 00:00:00,24568,24568
Indus,Kalabagh,2016-01-22 00:00:00,26360,26360
Indus,Kalabagh,2016-01-23 00:00:00,49343,49343
Indus,Kalabagh,2016-01-24 00:00:00,30867,30867
Indus,Kalabagh,2016-01-25 00:00:00,27043,27043
Indus,Kalabagh,2016-01-26 00:00:00,30867,30867
Indus,Kalabagh,2016-01-27 00:00:00,27990,27990
Indus,Kalabagh,2016-01-28 00:00:00,23163,23163
Indus,Kalabagh,2016-01-29 00:00:00,26438,26438
Indus,Kalabagh,2016-01-30 00:00:00,33096,33096
Indus,Kalabagh,2016-01-31 00:00:00,23459,23359
Indus,Taunsa Barrage,2016-01-01 00:00:00,17412,17412
Indus,Taunsa Barrage,2016-01-02 00:00:00,24102,24102
Indus,Taunsa Barrage,2016-01-03 00:00:00,18535,18535
Indus,Taunsa Barrage,2016-01-04 00:00:00,16462,16462
Indus,Taunsa Barrage,2016-01-05 00:00:00,15653,15653
Indus,Taunsa Barrage,2016-01-06 00:00:00,13676,13676
Indus,Taunsa Barrage,2016-01-07 00:00:00,13676,13676
Indus,Taunsa Barrage,2016-01-08 00:00:00,15504,15504
Indus,Taunsa Barrage,2016-01-09 00:00:00,17339,17339
Indus,Taunsa Barrage,2016-01-10 00:00:00,17339,17339
Indus,Taunsa Barrage,2016-01-11 00:00:00,18293,18293
Indus,Taunsa Barrage,2016-01-12 00:00:00,19565,19565
Indus,Taunsa Barrage,2016-01-13 00:00:00,23757,23757
