River,Gauge Site,Date,Time,Up Stream Gauge,Up Stream ,Down Stream Gauge,Down Stream,Flood Limit in Lac Cusecs (Low),Flood Limit in Lac Cusecs (Med),Flood Limit in Lac Cusecs (High),Flood Limit in Lac Cusecs     (V High),Remarks
CHENAB,Trimmu,15-Jun-24,23:59 Hrs,490.5,32564,481.5,15264,1.5,2,3,4.5,Normal
CHENAB,Punjnad,15-Jun-24,23:59 Hrs,338,17374,325.4,3574,1.5,2,3,4.5,Normal
RAVI,Jassar,15-Jun-24,23:59 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,15-Jun-24,23:59 Hrs,-,-,672,9575,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,15-Jun-24,23:59 Hrs,,-,-,-,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,15-Jun-24,23:59 Hrs,-,-,-,-,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,15-Jun-24,23:59 Hrs,-,-,-,-,-,-,-,-,-
SUTLEJ,Sulemanki,15-Jun-24,23:59 Hrs,569,13521,558,2001,0.5,0.8,1.2,1.75,Normal
SUTLEJ,Islam,15-Jun-24,23:59 Hrs,455,3349,435.3,799,0.5,0.8,1.2,1.75,Normal
INDUS,khairabad,16-Jun-24,06:00 Hrs,-,-,15.4,183600,2.25,3.75,5,6.5,Normal
INDUS,Kalabagh,16-Jun-24,06:00 Hrs,693.5,176424,679.2,168668,2.5,3.75,5,6.5,Normal
INDUS,Chashma,16-Jun-24,06:00 Hrs,646.6,191408,613.8,185008,2.5,3.75,5,6.5,Normal
INDUS,Taunsa,16-Jun-24,06:00 Hrs,446.7,176932,429.2,152744,2.5,3.75,5,6.5,Normal
INDUS,Guddu,16-Jun-24,06:00 Hrs,258.2,137088,248.2,109921,2,3.5,5,7,Normal
INDUS,Sukkar,16-Jun-24,06:00 Hrs,199.5,96570,189.2,47465,2,3.5,5,7,Normal
INDUS,Kotri,16-Jun-24,06:00 Hrs,69.9,58222,46.6,17717,2.5,4,5,6.5,Normal
JHELUM,Kotli,16-Jun-24,06:00 Hrs,-,-,7.6,2800,-,-,-,-,-
JHELUM,Rasul,16-Jun-24,06:00 Hrs,719,55597,700,36264,0.75,1.1,1.5,2.25,Normal
CHENAB,Marala,16-Jun-24,06:00 Hrs,812,42736,795.8,15286,1,1.5,2,4,Normal
CHENAB,Khanki,16-Jun-24,06:00 Hrs,733,15438,719.6,7464,1,1.5,2,4,Normal
CHENAB,Qadirabad,16-Jun-24,06:00 Hrs,700,27038,684.9,7513,1,1.5,2,4,Normal
CHENAB,Trimmu,16-Jun-24,06:00 Hrs,490.5,32564,481.5,15264,1.5,2,3,4.5,Normal
CHENAB,Punjnad,16-Jun-24,06:00 Hrs,338,17374,325.4,3574,1.5,2,3,4.5,Normal
RAVI,Jassar,16-Jun-24,06:00 Hrs,-,-,775.1,1284,0.5,0.75,1,1.5,Normal
RAVI,Shahdara,16-Jun-24,06:00 Hrs,-,-,672,9575,0.4,0.65,0.9,1.35,Normal
RAVI,Balloki,16-Jun-24,06:00 Hrs,633,28360,617.8,2860,0.4,0.65,0.9,1.35,Normal
RAVI,Sidhnai,16-Jun-24,06:00 Hrs,-,-,-,-,0.3,0.45,0.6,0.9,Normal
SUTLEJ,Bhakara**,16-Jun-24,06:00 Hrs,-,-,-,-,-,-,-,-,-
